drugbank_id	name	cas	group	description	indication
DB05580	TRU-015	1169717-01-4	investigational,		Investigated for use/treatment in lymphoma (unspecified) and rheumatoid arthritis.
DB05585	Verubulin	827031-83-4	investigational,	Antineoplastic; a small-molecule inhibitor of microtubule formation that is not a substrate for multidrug resistance pumps.	Investigated for use/treatment in brain cancer, lung cancer, melanoma, and solid tumors.
DB05586	Facinicline	677306-35-3	investigational,		Investigated for use/treatment in alzheimer's disease, neurologic disorders, and schizophrenia and schizoaffective disorders.
DB05590	Bedoradrine	194785-19-8	investigational,		Investigated for use/treatment in asthma and labor and delivery.
DB05594	Cantuzumab ravtansine	868747-45-9	investigational,		Investigated for use/treatment in gastric cancer.
DB05595	Farletuzumab	896723-44-7	investigational,	Farletuzumab (MORAb-003) is a fully humanized monoclonal antibody against the folate receptor alpha, for the potential treatment of epithelial ovarian cancer.	Investigated for use/treatment in ovarian cancer.
DB05596	PRX-03140	869493-21-0	investigational,		Investigated for use/treatment in alzheimer's disease and memory loss.
DB05599	Fibroblast growth factor-1	106096-92-8	investigational,		Investigated for use/treatment in coronary artery disease and peripheral vascular disease.
DB05606	Beclanorsen	1072859-54-1	investigational,		Investigated for use/treatment in leukemia (lymphoid).
DB05607	PRX-08066		investigational,		Investigated for use/treatment in chronic obstructive pulmonary disease (COPD) and pulmonary hypertension.
DB05608	MKC-1	125313-92-0	investigational,		Investigated for use/treatment in breast cancer, leukemia (unspecified), lung cancer, and solid tumors.
DB05611	Apilimod	541550-19-0	investigational,		Investigated for use/treatment in crohn's disease and psoriasis and psoriatic disorders.
DB05620	AVI-4065		investigational,	AVI-4065, a phosphorodiamidate Morpholino oligomer (PMO), is an investigational antisense HCV drug. It was developed by Sarepta Therapeutics, Inc. After phase II trials it was cancelled due to lack of potency. [L2917]	Investigated for use/treatment in hepatitis (viral, C).
DB05624	Teverelix	151272-78-5	investigational,	A synthetic decapeptide, water-soluble Gonadotropin-releasing hormone antagonist. It has reached phase II clinical trials.	Investigated for use/treatment in benign prostatic hyperplasia, endometriosis, and prostate cancer.
DB05625	CTCE-9908	1030384-98-5	investigational,		Investigated for use/treatment in cancer/tumors (unspecified), lung cancer, and sarcoma.
DB05626	Retaspimycin	857402-23-4	investigational,		Investigated for use/treatment in gastric cancer, lung cancer, and multiple myeloma.
DB05630	Sodium stibogluconate	16037-91-5	approved,investigational,	Sodium stibogluconate is a medicine used to treat leishmaniasis and is only available for administration by injection. It belongs to the class of medicines known as the pentavalent antimonials. Sodium stibogluconate is sold in the UK as Pentostam (manufactured by GlaxoSmithKline). Widespread resistance has limited the utility of sodium stibogluconate, and in many parts of the world, amphotericin or miltefosine are used instead. It is also being investigated as an anti-tumor agent.	For the treatment of various types of a protozoal infection called leishmaniasis, which may result from sandfly bites in tropical and temperate parts of the world. Also investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
DB05631	ALT-2074	173026-17-0	investigational,	An organoselenium drug previously studied by Oxis International in Phase-II clinical trials for ulcerative colitis patients. Some indications of efficacy were demonstrated. BXT-51072 has enthusiastic endorsement for treatment in cardiovascular indications, primarily because of its ability to mimic the function of glutathione peroxidase.	Investigated for use/treatment in cardiovascular disorders and diabetes mellitus type 1 and 2.
DB05633	Glypromate	32302-76-4	investigational,	Neuren Pharmaceuticals was developing Glypromate (glycine-proline glutamate), a naturally occurring small-molecule neuroprotectant derived from IGF-1 which inhibits caspase III dependent apoptosis, for the potential treatment of neurodegenerative diseases by IV infusion. In December 2008, the company discontinued further development of the drug after it failed to show an observable effect.	Investigated for use/treatment in neurologic disorders.
DB05638	Asvasiran	870094-26-1	investigational,	Asvasiran is an siRNA that targets the respiratory syncytial virus (RSV) N gene and inhibits viral replication. It has the potential to treat or prevent RSV infection.	Investigated for use/treatment in infectious and parasitic disease (unspecified) and viral infection.
DB05642	DDP-225	476148-82-0	investigational,	"DDP225 is both a noradrenaline reuptake inhibitor and a serotonin type 3
receptor (5-HT3) antagonist.  Noradrenaline and serotonin are neurotransmitters that are known to be involved in the control of the
gastrointestinal system.  The unique combination of noradrenaline reuptake
inhibition and 5-HT3 antagonism in one orally delivered compound represents a novel approach to treating IBS-d and other functional GI diseases.  Dynogen licensed preclinical and clinical data related to DDP225 from Mitsubishi Pharma in October 2003."	Investigated for use/treatment in alzheimer's disease, depression, diarrhea, gastrointestinal diseases and disorders (miscellaneous), and irritable bowel syndrome (IBS).
DB05644	KP-1461	815588-85-3	investigational,	KP-1461 is a potent, non-chain-terminating, mutagenic deoxyribonucleoside analogue. Designated a DNA covert nucleoside, the drug consists of a modified base that incorporates randomly into HIV and pairs with multiple bases.	Investigated for use/treatment in HIV infection.
DB05645	Larazotide	258818-34-7	investigational,	An octapeptide inhibitor of paracellular permeability whose structure is derived from a protein (zonula occludens toxin) secreted by Vibrio cholerae for treatment of Coeliac disease.	Investigated for use/treatment in autoimmune diseases, diabetes mellitus type 1, and gastrointestinal diseases and disorders (miscellaneous).
DB05649	NTx-265		investigational,	"NTx-265 is a combination of two currently marketed large molecules designed to stimulate the growth and differentiation of neural stem cells in adults who have suffered a stroke – the second leading cause of death worldwide. In May 2006, biotechnology company Stem Cell Therapeutics started a Phase IIa study of NTx-265. It is also investigating use of the compound for neurodegenerative disorders, such as Huntington’s disease and Alzheimer’s disease.
"	Investigated for use/treatment in strokes.
DB05650	OT-551		investigational,	OT-551 is a novel small molecule that is topically dosed in an eye drop and has the unique ability to penetrate cell membranes and reach both the front and the back of the eye. It is intended to treat Age-related macular Degeneration (AMD), and preclinical research results indicate additional uses for OT-551, including treatment of early stage and advanced dry age-related macular degeneration (AMD) by protecting against retina photoreceptor cell death and inhibiting angiogenesis, the growth of small blood vessels leading to the wet-form of AMD. A leading cause of vision loss, AMD affects approximately 10 million Americans.	Investigated for use/treatment in cataracts, eye disorders/infections, glaucoma, and macular degeneration.
DB05652	VTP-201227		investigational,	VTP-201227 has a novel mechanism of action and is being developed as a topical agent for the treatment of psoriasis with potential extensions into other dermatological indications. It is being developed by Vitae Pharmaceuticals.	Investigated for use/treatment in psoriasis and psoriatic disorders.
DB05653	IRX-5183	367273-07-2	investigational,		Investigated for use/treatment in adverse effects (chemotherapy) and blood (blood forming organ disorders, unspecified).
DB05656	Veltuzumab	728917-18-8	investigational,	Veltuzumab is a monoclonal antibody which is being investigated for the treatment of non-Hodgkin's lymphoma. As of October 2009, it is undergoing Phase I/II clinical trials.	Investigated for use/treatment in lymphoma (non-hodgkin's).
DB05659	faropenem medoxomil	141702-36-5	investigational,	Faropenem medoxomil is an ester prodrug derivative of the beta-lactam antibiotic faropenem. The prodrug form of faropenem offers dramatically improved oral bioavailability and leads to higher systemic concentrations of the drug. Faropenem medoxomil is a broad-spectrum antibiotic that is highly resistant to beta-lactamase degradation. It is being developed jointly by Replidyne, Inc. and Forest Laboratories, Inc.	Investigated for use/treatment in bacterial infection, bronchitis, otitis media, and pediatric indications.
DB05660	D-JNKI-1	1198367-70-2	investigational,	A synthetic, cell permeable peptide that blocks the MAPK-JNK signal pathway; has potential therapeutic value for long-term protection of both the morphological integrity and physiological function of the organ of Corti during times of oxidative stress.	Investigated for use/treatment in hearing loss.
DB05662	NP-50301		investigational,	NP-50301 is an ophthalmic therapeutic eye drop treating post-menopausal Dry Eye Syndrome (DES). It is being developed by Nascent Pharmaceuticals. It is estimated that about 30% of postmenopausal women suffer symptoms of DES, which accounts for over 12 million women in the U.S. The majority of sufferers of DES are postmenopausal women; and clinical research around the world has suggested the benefits of both topical and systemic estrogen therapy in the treatment of DES in this population.	Investigated for use/treatment in eye disorders/infections.
DB05667	Levoketoconazole	142128-57-2	investigational,	Levoketoconazole is a cortisol synthesis inhibitor that is being developed as a therapy for glucose and cholesterol control in patients with type 2 diabetes mellitus.	Investigated for use/treatment in diabetes mellitus type 2.
DB05668	Palifosfamide	31645-39-3	investigational,	Palifosfamide (ZIO-201) is a proprietary stabilized metabolite of ifosfamide. Ifosfamide has been shown to be effective in high doses in treating testicular cancer, sarcoma and lymphoma.	Investigated for use/treatment in cancer/tumors (unspecified), lymphoma (unspecified), and sarcoma.
DB05671	AC-100		investigational,	AC-100 is a novel synthetic peptide derived from an endogenous human protein produced by bone and dental cells (a fragment from matrix extracellular phosphoglycoprotein). It is being developed by Acologix, Inc.	Investigated for use/treatment in periodontal disease.
DB05675	EP-2104R		investigational,	EP-2104R is an imaging pharmaceutical under development for the detection of blood clots. It is the first targeted high-resolution technique designed to visualize blood clots directly. It is being developed by EPIX Pharmaceuticals, Inc.	Investigated for use/treatment in cardiovascular disorders and thrombosis.
DB05676	Apremilast	608141-41-9	approved,investigational,	Apremilast is a novel, orally available small molecule inhibitor of type-4 cyclic nucleotide phosphodiesterase (PDE-4). It is indicated in the treatment of active psoriatic arthritis in adults (approved by the FDA in March 2014) and moderate to severe plaque psoriasis (approved by the FDA in September 2014). PDE-4 is a cyclic adenosine monophosphate (cAMP)-specific phosphodiesterase that is predominantly located in inflammatory cells. By inhibiting PDE-4, apremilast increases intracellular levels of cAMP and thereby inhibits the production of multiple proinflammatory mediators including PDE-4, TNF-alpha, interleukin-2 (IL-2), interferon-gamma, leukotrienes, and nitric oxide synthase. By targeting a central component of the inflammatory signaling cascade rather than a single inflammatory marker, PDE-4 inhibition may restore the homeostatic balance between pro- and anti-inflammatory signalling.	Investigated for use/treatment in psoriasis and psoriatic disorders.
DB05678	SLx-4090	913541-47-6	investigational,	SLx-4090 is a microsomal triglyceride transfer protein (MTTP) inhibitor potentially for the treatment of type 2 diabetes. [A33218]	Investigated for use/treatment in hyperlipidemia.
DB05679	Ustekinumab	815610-63-0	approved,investigational,	Ustekinumab, is a human immunosuppressive drug developed by the biotechnology company Centocor. It is a laboratory-manufactured, monoclonal antibody directed against interleukins IL-12 and IL-23.  Since 2009, ustekinumab has been approved in US, Canada, and Europe for the treatment of plaque psoriasis and psoriatic arthritis. In September 2016, Janssen announced that the FDA approved the medication for the treatment of moderate-severe Crohn's disease.	Ustekinumab is indicated for management of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy; or is used alone or in conjunction with methotrexate for the management of active psoriatic arthritis in adults. The FDA approved the use of ustekinumab in September 2016 for the treatment of moderate to severe Crohn's disease. The use of ustekinumab may improve short term clinical response but not clinical remission in moderate to severe Crohn's disease.
DB05680	Sotirimod	227318-75-4	investigational,		Investigated for use/treatment in actinic keratosis and skin infections/disorders.
DB05683	Iodofiltic acid I-123	123748-56-1	investigational,		Investigated for use/treatment in cardiac ischemia.
DB05685	FX06		investigational,	FX06 is a naturally occurring peptide derived from the neo-N-terminus of fibrin (Bbeta(15-42)). It prevents leukocyte migration through the gap junctions of endothelial cells. FX06 has proven safe in acute and subchronic toxicological studies and recently entered clinical development. It is being developed by Fibrex Medical Inc.	Investigated for use/treatment in cardiac reperfusion injury and myocardial infarction.
DB05686	Sivifene	2675-35-6	investigational,		Investigated for use/treatment in cervical dysplasia/cancer, genital warts, and skin cancer.
DB05687	BL-1020		investigational,	BL-1020 is a first in class novel compound for the treatment of schizophrenia. It is being developed by BioLineRx (BioLine).	Investigated for use/treatment in schizophrenia and schizoaffective disorders.
DB05688	CRx-119		investigational,	CRx-119 is a novel synergistic combination drug candidate discovered using the CombinatoRx combination High Throughput Screening (cHTS(TM)) technology with potential therapeutic use in a broad range of immuno-inflammatory conditions. CRx-119 is a combination of a low dose of the steroid prednisolone, 3mg, and amoxapine.	Investigated for use/treatment in periodontal disease and rheumatoid arthritis.
DB05695	NPS-2143	284035-33-2	investigational,		Investigated for use/treatment in osteoporosis.
DB05705	ALS-08		investigational,	ALS-08 is a proprietary creatine-derivative that is being developed as a potential therapeutic for amyotrophic lateral sclerosis (ALS). It is being developed by Avicena Group, Inc.	Investigated for use/treatment in amyotrophic lateral sclerosis (ALS).
DB05706	13-deoxydoxorubicin	628290-43-7	investigational,	GPX-100 is an anthracycline anticancer drug that belongs to the family of drugs called antitumor antibiotics.	Investigated for use/treatment in breast cancer and cancer/tumors (unspecified).
DB05708	GTS-21	148372-04-7	investigational,	GTS-21 (also known as DMBX-A), is a novel, small-molecule, orally active and selective alpha-7 nicotinic acetylcholine (nACh) receptor agonist that has demonstrated memory and cognition enhancement activity in human clinical trials. Athenagen licensed the exclusive rights to the compound and a related library of analogs as part of the acquisition of Osprey Pharmaceutical Company in April 2006. GTS-21 has been studied in multiple Phase I studies in healthy volunteers and one Phase I/II study in schizophrenic patients. In all studies, the compound was well tolerated. In a Phase I multi-dose, double-blind, placebo controlled study in healthy adults, GTS-21 also demonstrated cognitive enhancement across all doses, with a statistically significant improvement in attention related and memory related tasks (Kitagawa, et al. Neuropsychopharmacology (2003), 28, 542-551). 	Investigated for use/treatment in alzheimer's disease and schizophrenia and schizoaffective disorders.
DB05710	Gantacurium Chloride	213998-46-0	investigational,	Gantacurium Chloride is a new, investigational, non-depolarizing ultra-short acting neuromuscular blocker. It is being developed by Avera Pharmaceuticals.	Investigated for use/treatment in anesthesia (unspecified).
DB05712	AZD-9684		investigational,	AZD-9684 is the first member of a new anti-thrombotic class (CPU inhibitors). It is being developed by AstraZeneca.	Investigated for use/treatment in thrombosis.
DB05713	LY-517717		investigational,	LY517717 is an investigational oral direct inhibitor of activated Factor Xa. It is believed to be Lilly's PMD-3112 (licensed from Amgen).	Investigated for use/treatment in thrombosis and venous thromboembolism.
DB05714	Flovagatran	871576-03-3	investigational,		Investigated for use/treatment in thrombosis.
DB05718	Maxy-G34		investigational,	MAXY-G34 is a pegylated variant of human granulocyte-colony stimulating factor (G-CSF). This variant contains multiple non-naturally occurring lysines that have been introduced into alpha helixes of wild type human G-CSF as PEGylation sites, and from which multiple undesired, naturally occurring lysines have been removed as compared to wild type human G-CSF to avoid PEGylation of such sites. Specifically, the amino acid sequence of MAXY-G34 differs from that of human wild type G-CSF at residues 16, 34, 40, 105 and 159. This was accomplished by removing the three lysine residues at positions 16, 34 and 40, and replacing them with arginine, and substituting two new lysine residues at positions 105 and 159. MAXY-G34 is pegylated with 5 kd mPEG SPA (succinimidyl propionate) groups at 3 amino acid residues, including PEG groups attached at the amino terminal end of the protein and at two internal lysine residues, while Neulasta has a single 20 Kd PEG group attached at the N terminal end of the wild type G-CSF protein. It is being developed by Maxygen, Inc. for the treatment of chemotherapy-induced neutropenia.	Investigated for use/treatment in adverse effects (chemotherapy) and neutropenics.
DB05719	Elesclomol	488832-69-5	investigational,	Elesclomol is a novel, injectable, drug candidate that kills cancer cells by elevating oxidative stress levels beyond a breaking point, triggering programmed cell death. In preclinical models elesclomol showed potent killing of a broad range of cancer cell types at high doses, and an ability to strongly enhance the efficacy of certain chemotherapy agents, with minimal additional toxicity, at moderate doses. It is being developed by Synta Pharmaceuticals.	Investigated for use/treatment in melanoma.
DB05722	CGC-11047		investigational,	CGC-11047 is a polyamine analog designed to halt cell growth and induce apoptosis.	Investigated for use/treatment in lymphoma (unspecified), macular degeneration, prostate cancer, and solid tumors.
DB05723	ALKS 29		investigational,	ALKS 29 is a new product candidate for the treatment of alcohol dependence. It is being developed by Alkermes, Inc.	Investigated for use/treatment in addictions and alcohol dependence.
DB05730	PMI-001		investigational,	PMI-001 is a stand-alone, disease-modifying, anti-rheumatic drug (DMARD) being developed by Phytomedics Inc. It is an extract of the roots of an undisclosed perennial shrub which interferes with the production of IL-2 and COX-2 proteins, for the potential treatment of autoimmune diseases, such as rheumatoid arthritis, lupus erythematosus and psoriasis.	Investigated for use/treatment in rheumatoid arthritis.
DB05732	Strontium malonate		investigational,	Strontium malonate is being developed as a novel orally available pharmaceutical for the treatment and prevention of osteoporosis. It is being developed by Osteologix Inc.	Investigated for use/treatment in osteoporosis.
DB05735	Cefilavancin	722454-12-8	investigational,		Investigated for use/treatment in bacterial infection, skin infections/disorders, and staph bacterial infections.
DB05736	MIV-701		investigational,	MIV-701 is a selective, potent inhibitor of the protease Cathepsin K. It is developed for the treatment of osteoporosis.	Investigated for use/treatment in osteoporosis.
DB05737	Varespladib methyl	172733-08-3	investigational,	Varespladib methyl has been investigated for the treatment of Acute Coronary Syndrome. Studies showed that Varespladib methyl treatment resulted in significant positive changes on lipoproteins and inflammation.	Investigated for use/treatment in atherosclerosis and coronary artery disease.
DB05738	Vapitadine	793655-64-8	investigational,	Vapitadine is an antihistamine that Barrier Therapeutics is developing as a treatment for allergic reactions of the skin, such as those associated with hives and for the itch associated with atopic dermatitis. An advantage of vapitadine over other antihistamines may be the absence of the sedation, even at high doses.	Investigated for use/treatment in atopic dermatitis.
DB05739	CYT006-AngQb		investigational,	CYT006-AngQb  is a therapeutic vaccine in development for treatment of hypertension. It is designed to instruct the patient’s immune system to produce an antibody response against angiotensin II, a small peptide that causes blood vessels to narrow and results in increased blood pressure. It is a unique treatment modality that aims to address the issue of patient compliance by offering convenient dosing schedules due to the long-lasting effect induced by vaccination.	Investigated for use/treatment in hypertension.
DB05740	RPI-78M		investigational,	RPI-78M is being developed for the treatment of multiple sclerosis (MS). Other neurological disorders that may be served by RPI-78M include myasthenia gravis (MG), muscular dystrophy (MD) and amyotrophic lateral sclerosis (ALS).	Investigated for use/treatment in multiple sclerosis, neurologic disorders, and pain (acute or chronic).
DB05741	AGS-005		investigational,	AGS-005 is a personalized dendritic cell-based immunotherapy, with optimized immune response characteristics, that is designed to stimulate the patient's immune system to target and destroy the patient's cancer cells.	Investigated for use/treatment in leukemia (lymphoid).
DB05742	AGS-004		investigational,	"AGS-004 is a personalized RNA-loaded dendritic cellbased
immunotherapy that is designed to stimulate the patient’s immune system to target and destroy the patient’s own unique viral burden. Non-personalized HIV immunotherapies are unable to raise cytotoxic T lymphocytes against HIV antigens, fail to induce T cell memory, and, most importantly, do not provide antiviral protection against the patient's own particular virus. A personalized immunotherapy addresses these issues because it is able to capture private viral mutations, providing a matched, complete immune response for each individual HIV patient. This approach may overcome the weaknesses of other available therapies and therefore could result in a better chance of success for HIV treatment."	Investigated for use/treatment in HIV infection.
DB05744	CRx-139		investigational,	"CRx-139 is an oral synergistic combination drug candidates with novel mechanisms of action targeting multiple biological pathways simultaneously. It is a dissociated steroid designed to enhance the immuno-modulatory activity of a low-dose glucocorticoid steroid without a comparable increase in steroid-related side effects. The synergistic combination containing low doses of the glucocorticoid steroid prednisolone and the antidepressant paroxetine. This novel synergistic combination is developed for the treatment of immuno-inflammatory diseases.

"	Investigated for use/treatment in rheumatoid arthritis.
DB05746	PF-03187207		investigational,	PF-03187207 is a nitric oxide-donating prostaglandin F2-alpha analogs for the potential treatment of glaucoma. Based on the very promising preclinical results and on the well-known activities of nitric oxide, PF-03187207 is expected to have an increased capacity to reduce high IOP. The development of abnormally high IOP, due to blockage or malfunction of systems controlling the amount of fluid in the eye, is believed to be one of the principal causes of glaucoma.	Investigated for use/treatment in glaucoma and ocular hypertension.
DB05747	R-851		investigational,	"R-851 is part of the family of immune response modifier (IRM) and it acts in a novel way to stimulate the human body's immnune system to attack virus-infected cells and tumor cells. It is expected to be topical treatment for cervical displasia and cervical high-risk human papillomavirus (HPV), the sexually transmitted virus that causes most cases of cervical cancer.

"	Investigated for use/treatment in cervical dysplasia/cancer and viral infection.
DB05749	MPI-674		investigational,	MPI-674 is an aromatase inhibitor (AI) with a well-established, multi-year chronic safety and tolerability profile.  AIs are a class of drugs that reduce the amount of estrogen circulating in the body by binding to and inhibiting the enzyme aromatase, which is responsible for converting certain hormones to estrogen. It is developed for the treatment of several serious women’s health conditions including endometrial thinning prior to endometrial ablations in premenopausal women with abnormal uterine bleeding (AUB).	Investigated for use/treatment in menstrual disorders.
DB05750	AVE-1625		investigational,	AVE-1625 is an oral selective and potent antagonist of cannabinoid 1 (CB1) receptors having the same mechanism of action as rimonabant. It is currently developed in obesity and its associated comorbidities. AVE-1625 is also being developed for the treatment of  Alzheimer disease.	Investigated for use/treatment in alzheimer's disease, obesity, and schizophrenia and schizoaffective disorders.
DB05751	RP01		investigational,	RP01 is a novel anti-IgE immunotherapy for allergic individuals. It is designed to induce the immune system to produce antibodies that block Immunoglobulin E (IgE), the key mediator of an allergic response. It could offer benefit to millions of asthma and allergy patients.	Investigated for use/treatment in allergic reaction and asthma.
DB05752	ALKS 27		investigational,	ALKS 27 is an inhaled formulation of trospium chloride for the treatment of chronic obstructive pulmonary disease (COPD). Study showed that ALKS 27 was well-tolerated over a wide dose range, with no dose-limited effects observed.	Investigated for use/treatment in chronic obstructive pulmonary disease (COPD).
DB05753	VSF-173		investigational,	VSF-173 is an oral small molecule. It is an oral compound that has demonstrated effects on animal sleep/wake patterns and gene expression patterns suggestive of a stimulant effect. It is developed for the treatment of excessive sleepiness. Study shows that VSF-173 possesses a novel mechanism to address disorders of excessive sleepiness.	Investigated for use/treatment in sleep disorders.
DB05754	IPH 1101		investigational,	IPH 1101 is a chemically-synthesized structural analog of non-conventional bacterial phosphoantigens which specifically activate the Vγ9Vδ2 T cell subset. IPH 1101 is the most advanced drug candidate of the γδ T cell platform	Investigated for use/treatment in hepatitis (viral, C), leukemia (myeloid), and lymphoma (non-hodgkin's).
DB05755	BF-37		investigational,	BF-37 for the treatment of atopic dermatitis and/or psoriasis. The active ingredient in BF-37 is Riluzole, applied in a topical formulation, which is believed to correct the imbalances of the immune system that cause atopic dermatitis or psoriasis.	Investigated for use/treatment in atopic dermatitis.
DB05756	PAC-113		investigational,	"PAC-113 an anti-fungal, for the treatment of oral candidiasis infections. It is a 12 amino-acid antimicrobial peptide derived from a naturally occurring histatin protein found in saliva. In vitro studies demonstrate that it has potent anti-fungal activity against the Candida albicans, including drug-resistant HIV patient isolates. PAC-113 is targeting oral Candida infections in immunocompromised patients and patients with salivary dysfunction.

"	Investigated for use/treatment in candidiasis, fungal infections, and saliva and salivary gland dysfunction.
DB05757	DNB-001		investigational,	DNB-001 is a first-in-class oral therapy with dual mechanism of action, which is initially being developed for the treatment of glaucoma. In preclinical animal models, DNB-001 has demonstrated potent IOP- lowering effects as well as neuroprotective effects on the optic nerve.	Investigated for use/treatment in ocular hypertension.
DB05758	CYT007-TNFQb		investigational,	"CYT007-TNFQb is an active immunization therapy that aims at
providing a novel treatment to people suffering from RA or psoriasis. The vaccine should allow for administration of low
amounts of drug to individual patients (in the microgram range) and for convenient dosing schedules."	Investigated for use/treatment in psoriasis and psoriatic disorders.
DB05765	ATX-201		investigational,	"ATX-201 is one of a family of novel compounds that inhibits microtubule polymerization. It is developed by Kythera Biopharmaceuticals, Inc. for the treatment of actinic
keratosis. The company announced the decision to discontinue its ATX-201 clinical program for actinic keratosis. The Company determined that the program was not meeting their expected primary and exploratory objectives."	Investigated for use/treatment in actinic keratosis.
DB05766	ACP-104		investigational,	ACP-104, or N-desmethylclozapine, is the major metabolite of clozapine, and is being developed by ACADIA as a novel, stand-alone therapy for schizophrenia. It combines an atypical antipsychotic efficacy profile with the added potential benefit of enhanced cognition, thereby addressing one of the major challenges in treating schizophrenia today.	Investigated for use/treatment in schizophrenia and schizoaffective disorders.
DB05767	Andrographolide		investigational,	HMPL-004 is a botanical product extracted from a herb that occurs naturally in China. The herb has an extensive history of use in TCM for the treatment of upper respiratory tract infections and other inflammatory and infectious diseases.	Investigated for use/treatment in ulcerative colitis.
DB05768	Alkaline Phosphatase		investigational,	"Alkaline Phosphatase (AP) is an oral treatment and has a very
favorable side-effect profile. AP only acts locally in the colon to reduce the continuous inflammation of the colon by endotoxin from Gram-negative bacteria and extracellular ATP in UC patients."	Investigated for use/treatment in ulcerative colitis.
DB05769	LCP-AtorFen		investigational,	LCP-AtorFen is a fixed-dose combination therapy for the treatment of high cholesterol levels combining atorvastatin (the active ingredient of Lipitor®) and the lowest dose of fenofibrate without food effect. LCP-AtorFen is designed to be a once daily tablet offering a powerful and safe treatment of high cholesterol levels, addressing three primary cardiovascular risk factors: low density lipoprotein cholesterol (LDL-C), high density lipoprotein cholesterol (HDL-C) and triglycerides (TG).	Investigated for use/treatment in hyperlipidemia.
DB05771	LLL-3348		investigational,	The botanical drug product LLL-3348 is a once-daily oral formulation for treatment of chronic stable plaque type psoriasis.	Investigated for use/treatment in psoriasis and psoriatic disorders.
DB05772	Rabeximod		investigational,	Rabeximod is an orally administered compound for treatment of moderate or severe active rheumatoid arthritis that is currently undergoing phase II clinical testing in eight European countries.	Investigated for use/treatment in rheumatoid arthritis.
DB05773	Trastuzumab emtansine	1018448-65-1	approved,investigational,	Trastuzumab emtansine, formerly called Trastuzumab-DM1 (T-DM1) is a first-in-class HER2 antibody drug conjugate (ADC) comprised of Genentech's trastuzumab antibody linked to ImmunoGen's cell-killing agent, DM1. T-DM1 combines two strategies-- anti-HER2 activity and targeted intracellular delivery of the potent anti-microtubule agent, DM1 (a maytansine derivative)--to produce cell cycle arrest and apoptosis. Trastuzumab emtansine is marketed under the brand name Kadcyla and is indicated for use in HER2-positive, metastatic breast cancer patients who have already used taxane and/or trastuzumab for metastatic disease or had their cancer recur within 6 months of adjuvant treatment. The FDA label has two precautions. First that trastuzumab emtansine and trastuzumab cannot be interchanged. Second that there is a black box warning of serious side effects such as hepatotoxicity, embryo-fetal toxicity, and cardiac toxicity. 	"Used in HER2-positive, metastatic breast cancer patients who have already used taxane and/or trastuzumab for metastatic disease or had their cancer recur within 6 months of adjuvant treatment.

"
DB05775	CRx-401		investigational,	CRx-401 is a novel insulin sensitizer designed to provide anti-diabetic activity without promoting weight gain. It consists of a low dose of the analgesic diflunisal in conjunction with a modified-release therapeutic dose of bezafibrate, an anti-cholesterol agent. In third-party clinical studies, the dose of bezafibrate contained in CRx-401 has been observed to have a positive impact on cellular pathways that influence glycemic and lipid profiles, and this dose has proven to be well tolerated in clinical trials. Unlike other NSAIDs, or non-steroidal anti-inflammatory drugs, the dose of diflunisal in CRx-401 has demonstrated in preclinical studies the ability to synergistically enhance the anti-diabetic effects of bezafibrate through novel disease-targeted mechanisms.	Investigated for use/treatment in diabetes mellitus type 2.
DB05776	IC41		investigational,	IC41 is a therapeutic peptide vaccine. It is being devloped by Intercell AG for the treatment of hepatitis C. The vaccine consists of five synthetic peptides (IPEP83, 84, 87, 89,1426) harboring HCV CD4 and CD8 T-cell epitopes and the synthetic adjuvant poly-L-arginine. 	Investigated for use/treatment in hepatitis (viral, C).
DB05777	Thrombomodulin Alfa	120313-91-9	approved,investigational,	Thrombomodulin Alfa is a novel, recombinant and soluble thrombomodulin (ART-123). It is a human protein with both thrombin inhibiting and protein C stimulating activities, for the potential treatment of thromboembolism and blood clotting disorders, such as disseminated intravascular thromboembolism. [A18701]	Investigated for use/treatment in blood preservative, blood (blood forming organ disorders, unspecified), sepsis and septicemia, and thrombosis.
DB05778	Col-118		investigational,	COL-118, a topical compound based on the SansRosa technology, for the treatment of redness associated with rosacea and other skin disorders. It is a believed to reduce erythema by constricting enlarged blood vessels in facial tissue. Col-118 is a unique formulation and presentation of Brimonidine, which is a selective alpha-2 adrenergic receptor agonist.	Investigated for use/treatment in skin infections/disorders.
DB05779	Oglufanide	38101-59-6	investigational,	Oglufanide is a synthetic dipeptide immunomodulator in development for the treatment of chronic hepatitis C viral infection. Oglufanide was originally developed to treat severe infectious disease in Russia (where it is a registered pharmaceutical), and was extensively studied in cancer clinical trials in the United States before being acquired by Implicit Bioscience in 2005. Oglufanide works as a regulator of the body's immune response, is being given by intranasal administration to patients with chronic hepatitis C viral infection.	Investigated for use/treatment in hepatitis (viral, C).
